,Cannizzaro reaction,Formaldehyde aldol addition R R$_1$,Formaldehyde aldol addition R R$_3$,Formaldehyde aldol addition R R$_4$,Formaldehyde aldol addition S R$_1$,Formaldehyde aldol addition S R$_2$,Formaldehyde aldol addition S R$_3$,Formaldehyde aldol addition S R$_4$,deprotonation R$_1$,deprotonation R$_2$,deprotonation R$_3$,deprotonation R$_4$,deprotonation R$_5$,deprotonation R$_6$,enolate protonation R R$_1$,enolate protonation R R$_2$,enolate protonation R R$_3$,enolate protonation R R$_4$,enolate protonation R R$_6$,enolate protonation S R$_2$,enolate protonation S R$_3$,enolate protonation S R$_4$,enolate protonation S R$_6$,monosaccharide-enolate addition anti type 1 A,monosaccharide-enolate addition anti type 1 B,monosaccharide-enolate addition anti type 2 A,monosaccharide-enolate addition anti type 2 B,monosaccharide-enolate addition syn type 1 A,monosaccharide-enolate addition syn type 2 B,retroaldol R$_2$,
FRN071A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,
FRN071C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,
FRN089D,2.0,4.0,1.0,0.0,3.0,1.0,1.0,0.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,8.0,
FRN089A,2.0,4.0,1.0,0.0,3.0,2.0,1.0,0.0,4.0,5.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,9.0,
FRN089B,2.0,4.0,1.0,0.0,4.0,1.0,1.0,1.0,4.0,5.0,3.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,9.0,
FRN089C,2.0,4.0,0.0,0.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,8.0,
FRN088C,3.0,4.0,1.0,0.0,2.0,1.0,1.0,1.0,5.0,4.0,2.0,2.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,4.0,0.0,2.0,13.0,
FRN088B,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,3.0,1.0,3.0,11.0,
FRN088A,2.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,4.0,3.0,2.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,2.0,10.0,
FRN087A,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,9.0,
FRN087B,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,10.0,
FRN087C,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,8.0,
FRN087D,2.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,4.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,11.0,
FRN087E,2.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,5.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,11.0,
FRN077A,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,3.0,11.0,
FRN077D,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,4.0,12.0,
FRN077B,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,10.0,
FRN077C,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,10.0,
FRN106A,4.0,4.0,1.0,0.0,3.0,1.0,1.0,1.0,5.0,5.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,3.0,12.0,
FRN106B,2.0,4.0,1.0,0.0,3.0,1.0,1.0,1.0,5.0,5.0,3.0,1.0,3.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,4.0,13.0,
FRN091,1.0,4.0,1.0,0.0,3.0,1.0,1.0,1.0,4.0,4.0,3.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,10.0,
FRN062D,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,
FRN062B,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,
FRN062C,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,
