node,x,y
208,430.23,854.09
209,967.95,1163.9
210,863.54,994.37
211,1012.1,848.93
212,523.41,864.36
213,1002.0,919.31
214,1035.0,1098.1
215,602.42,917.98
216,1078.0,1029.7
217,701.2,924.88
218,994.89,980.76
219,895.88,949.94
220,744.66,725.96
221,796.27,903.54
222,775.3,816.5
